blue_value,green_value,red_value,concentration_percentage
0.613540058,0.347408768,0.039051174,50.00
0.611544306,0.347511993,0.0409437,50.00
0.610813673,0.349303419,0.039882908,50.00
0.609579447,0.353453285,0.036967268,50.00
0.610874362,0.347366459,0.041759179,50.00
0.612147559,0.347961608,0.039890833,50.00
0.611432331,0.347803135,0.040764535,50.00
0.60889381,0.348471311,0.042634879,50.00
0.608816637,0.352956271,0.038227091,50.00
0.60843809,0.352969889,0.038592021,50.00
0.612561563,0.351260707,0.036177731,50.00
0.612107098,0.348052927,0.039839975,50.00
0.61239107,0.346708814,0.040900116,50.00
0.625558294,0.330429192,0.044012514,75.40
0.626114557,0.331349163,0.04253628,75.40
0.626684596,0.332018719,0.041296685,75.40
0.633849936,0.33397531,0.032174754,75.40
0.634533411,0.333319299,0.03214729,75.40
0.636510378,0.332268409,0.031221213,75.40
0.634898926,0.333878957,0.031222117,75.40
0.635092016,0.333164982,0.031743002,75.40
0.626112057,0.329706531,0.044181412,75.40
0.62407668,0.331898783,0.044024537,75.40
0.624449965,0.331113537,0.044436498,75.40
0.624690109,0.331767865,0.043542026,75.40
0.624376467,0.331828221,0.043795312,75.40
0.625221045,0.330163228,0.044615727,75.40
0.624652924,0.330666572,0.044680505,75.40
0.626656117,0.327528141,0.045815742,75.40
0.626346276,0.33143726,0.042216465,75.40
0.625750974,0.331628262,0.042620764,75.40
0.625316433,0.330916675,0.043766893,75.40
0.62569505,0.331897114,0.042407837,75.40
0.62518731,0.331479919,0.043332771,75.40
0.625177453,0.331222098,0.043600449,75.40
0.625965893,0.329924737,0.04410937,75.40
0.626425382,0.330400585,0.043174033,75.40
0.626838544,0.330237234,0.042924222,75.40
0.626205727,0.330199008,0.043595265,75.40
0.625340877,0.330743864,0.043915259,75.40
0.625858794,0.330975862,0.043165344,75.40
0.625726613,0.330468107,0.04380528,75.40
0.625199971,0.330450582,0.044349447,75.40
0.625303676,0.33030828,0.044388044,75.40
0.625606306,0.329326941,0.045066752,75.40
0.626010619,0.32898374,0.045005641,75.40
0.625604052,0.330068766,0.044327182,75.40
0.625452376,0.330240914,0.04430671,75.40
0.625212882,0.330020583,0.044766536,75.40
0.625640442,0.329407932,0.044951626,75.40
0.625222367,0.330472196,0.044305437,75.40
0.62586873,0.329140424,0.044990846,75.40
0.62638043,0.329177692,0.044441877,75.40
0.625508315,0.330223384,0.0442683,75.40
0.625755338,0.330744861,0.043499801,75.40
0.625831275,0.33097816,0.043190565,75.40
0.626619057,0.330484864,0.042896079,75.40
0.626186643,0.328917377,0.04489598,75.40
0.626911801,0.330890303,0.042197896,75.40
0.627127443,0.33060169,0.042270868,75.40
0.626245348,0.331211689,0.042542963,75.40
0.62671897,0.330569235,0.042711796,75.40
0.62671897,0.330569235,0.042711796,75.40
